! elementShape gimp                          
! elementNumPoints 16                          
29171 26264                            
-345.0 -10.0                            
-342.5 -10.0                            
-340.0 -10.0                            
-337.5 -10.0                            
-335.0 -10.0                            
-332.5 -10.0                            
-330.0 -10.0                            
-327.5 -10.0                            
-325.0 -10.0                            
-322.5 -10.0                            
-320.0 -10.0                            
-317.5 -10.0                            
-315.0 -10.0                            
-312.5 -10.0                            
-310.0 -10.0                            
-307.5 -10.0                            
-305.0 -10.0                            
-302.5 -10.0                            
-300.0 -10.0                            
-297.5 -10.0                            
-295.0 -10.0                            
-292.5 -10.0                            
-290.0 -10.0                            
-287.5 -10.0                            
-285.0 -10.0                            
-282.5 -10.0                            
-280.0 -10.0                            
-277.5 -10.0                            
-275.0 -10.0                            
-272.5 -10.0                            
-270.0 -10.0                            
-267.5 -10.0                            
-265.0 -10.0                            
-262.5 -10.0                            
-260.0 -10.0                            
-257.5 -10.0                            
-255.0 -10.0                            
-252.5 -10.0                            
-250.0 -10.0                            
-247.5 -10.0                            
-245.0 -10.0                            
-242.5 -10.0                            
-240.0 -10.0                            
-237.5 -10.0                            
-235.0 -10.0                            
-232.5 -10.0                            
-230.0 -10.0                            
-227.5 -10.0                            
-225.0 -10.0                            
-222.5 -10.0                            
-220.0 -10.0                            
-217.5 -10.0                            
-215.0 -10.0                            
-212.5 -10.0                            
-210.0 -10.0                            
-207.5 -10.0                            
-205.0 -10.0                            
-202.5 -10.0                            
-200.0 -10.0                            
-197.5 -10.0                            
-195.0 -10.0                            
-192.5 -10.0                            
-190.0 -10.0                            
-187.5 -10.0                            
-185.0 -10.0                            
-182.5 -10.0                            
-180.0 -10.0                            
-177.5 -10.0                            
-175.0 -10.0                            
-172.5 -10.0                            
-170.0 -10.0                            
-167.5 -10.0                            
-165.0 -10.0                            
-162.5 -10.0                            
-160.0 -10.0                            
-157.5 -10.0                            
-155.0 -10.0                            
-152.5 -10.0                            
-150.0 -10.0                            
-147.5 -10.0                            
-145.0 -10.0                            
-142.5 -10.0                            
-140.0 -10.0                            
-137.5 -10.0                            
-135.0 -10.0                            
-132.5 -10.0                            
-130.0 -10.0                            
-127.5 -10.0                            
-125.0 -10.0                            
-122.5 -10.0                            
-120.0 -10.0                            
-117.5 -10.0                            
-115.0 -10.0                            
-112.5 -10.0                            
-110.0 -10.0                            
-107.5 -10.0                            
-105.0 -10.0                            
-102.5 -10.0                            
-100.0 -10.0                            
-97.5 -10.0                            
-95.0 -10.0                            
-92.5 -10.0                            
-90.0 -10.0                            
-87.5 -10.0                            
-85.0 -10.0                            
-82.5 -10.0                            
-80.0 -10.0                            
-77.5 -10.0                            
-75.0 -10.0                            
-72.5 -10.0                            
-70.0 -10.0                            
-67.5 -10.0                            
-65.0 -10.0                            
-62.5 -10.0                            
-60.0 -10.0                            
-57.5 -10.0                            
-55.0 -10.0                            
-52.5 -10.0                            
-50.0 -10.0                            
-47.5 -10.0                            
-45.0 -10.0                            
-42.5 -10.0                            
-40.0 -10.0                            
-37.5 -10.0                            
-35.0 -10.0                            
-32.5 -10.0                            
-30.0 -10.0                            
-27.5 -10.0                            
-25.0 -10.0                            
-22.5 -10.0                            
-20.0 -10.0                            
-17.5 -10.0                            
-15.0 -10.0                            
-12.5 -10.0                            
-10.0 -10.0                            
-7.5 -10.0                            
-5.0 -10.0                            
-2.5 -10.0                            
0.0 -10.0                            
2.5 -10.0                            
5.0 -10.0                            
7.5 -10.0                            
10.0 -10.0                            
12.5 -10.0                            
15.0 -10.0                            
17.5 -10.0                            
20.0 -10.0                            
22.5 -10.0                            
25.0 -10.0                            
27.5 -10.0                            
30.0 -10.0                            
32.5 -10.0                            
35.0 -10.0                            
37.5 -10.0                            
40.0 -10.0                            
42.5 -10.0                            
45.0 -10.0                            
47.5 -10.0                            
50.0 -10.0                            
52.5 -10.0                            
55.0 -10.0                            
57.5 -10.0                            
60.0 -10.0                            
62.5 -10.0                            
65.0 -10.0                            
67.5 -10.0                            
70.0 -10.0                            
72.5 -10.0                            
75.0 -10.0                            
77.5 -10.0                            
80.0 -10.0                            
82.5 -10.0                            
85.0 -10.0                            
87.5 -10.0                            
90.0 -10.0                            
92.5 -10.0                            
95.0 -10.0                            
97.5 -10.0                            
100.0 -10.0                            
102.5 -10.0                            
105.0 -10.0                            
107.5 -10.0                            
110.0 -10.0                            
112.5 -10.0                            
115.0 -10.0                            
117.5 -10.0                            
120.0 -10.0                            
122.5 -10.0                            
125.0 -10.0                            
127.5 -10.0                            
130.0 -10.0                            
132.5 -10.0                            
135.0 -10.0                            
137.5 -10.0                            
140.0 -10.0                            
142.5 -10.0                            
145.0 -10.0                            
147.5 -10.0                            
150.0 -10.0                            
152.5 -10.0                            
155.0 -10.0                            
157.5 -10.0                            
160.0 -10.0                            
162.5 -10.0                            
165.0 -10.0                            
167.5 -10.0                            
170.0 -10.0                            
172.5 -10.0                            
175.0 -10.0                            
177.5 -10.0                            
180.0 -10.0                            
182.5 -10.0                            
185.0 -10.0                            
187.5 -10.0                            
190.0 -10.0                            
192.5 -10.0                            
195.0 -10.0                            
197.5 -10.0                            
200.0 -10.0                            
202.5 -10.0                            
205.0 -10.0                            
207.5 -10.0                            
210.0 -10.0                            
212.5 -10.0                            
215.0 -10.0                            
217.5 -10.0                            
220.0 -10.0                            
222.5 -10.0                            
225.0 -10.0                            
227.5 -10.0                            
230.0 -10.0                            
232.5 -10.0                            
235.0 -10.0                            
237.5 -10.0                            
240.0 -10.0                            
242.5 -10.0                            
245.0 -10.0                            
247.5 -10.0                            
250.0 -10.0                            
252.5 -10.0                            
255.0 -10.0                            
257.5 -10.0                            
260.0 -10.0                            
262.5 -10.0                            
265.0 -10.0                            
267.5 -10.0                            
270.0 -10.0                            
272.5 -10.0                            
275.0 -10.0                            
277.5 -10.0                            
280.0 -10.0                            
282.5 -10.0                            
285.0 -10.0                            
287.5 -10.0                            
290.0 -10.0                            
292.5 -10.0                            
295.0 -10.0                            
297.5 -10.0                            
300.0 -10.0                            
302.5 -10.0                            
305.0 -10.0                            
307.5 -10.0                            
310.0 -10.0                            
312.5 -10.0                            
315.0 -10.0                            
317.5 -10.0                            
320.0 -10.0                            
322.5 -10.0                            
325.0 -10.0                            
327.5 -10.0                            
330.0 -10.0                            
332.5 -10.0                            
335.0 -10.0                            
337.5 -10.0                            
340.0 -10.0                            
342.5 -10.0                            
345.0 -10.0                            
347.5 -10.0                            
350.0 -10.0                            
352.5 -10.0                            
355.0 -10.0                            
357.5 -10.0                            
